participant,Nausea,Oculomotor,Disorientation,Total
1,57.239999999999995,83.38,41.76,74.80000000000001
2,38.16,22.740000000000002,83.52,48.620000000000005
3,104.94,106.12,153.12,134.64000000000001
4,57.239999999999995,45.480000000000004,69.6,63.580000000000005
5,19.08,22.740000000000002,0.0,18.700000000000003
6,47.699999999999996,53.06,69.6,63.580000000000005
7,47.699999999999996,53.06,55.68,59.84
8,0.0,0.0,0.0,0.0
9,9.54,7.58,27.84,14.96
10,19.08,30.32,13.92,26.18
11,9.54,7.58,0.0,7.48
12,9.54,37.9,69.6,41.14
13,9.54,0.0,0.0,3.74
14,162.17999999999998,75.8,139.2,138.38
15,0.0,0.0,0.0,0.0
16,66.78,22.740000000000002,83.52,59.84
17,85.85999999999999,75.8,125.28,104.72
